;주식 회사 이름
100,마고 인터내셔널
101,삼안 산업
102,블랙리버 유한회사
103,오메가 공업
104,클로버 산업
105,블라디미르
106,골든 하버 인더스트리
107,포세이돈
108,카라카스 산업
109,비스마르크 코퍼레이션
110,문화 인형
111,덴셰츠 동화
112,덴세츠 사이언스
113,D-엔터테인먼트

;아이템 설명(임시)
201,영원을 맹세하는 반지입니다. 과연 마음 속 그녀가 받아줄지 모르겠네요.
202,호감도가 소폭 상승하며 스트레스/공포가 소폭 감소합니다.
203,호감도가 상승하며 스트레스/공포가 감소합니다.
204,호감도가 상승하며 스트레스/공포가 감소합니다. 선물 받은 대상의 마음속 상처를 씻어줄지도 모릅니다.
205,대상에게 자신의 소유물이라는 표시를 줍니다. 그것은 목걸이일수도 아니면 평생 지울 수 없는 낙인일 수도 있습니다.

251,상대방의 속내를 알 수 있습니다. 물리적으로 말고요.
252,사지 않아도 언젠간 얻을 수 있는 능력입니다. 급하시면 상관없지만요.
253,사지 않아도 언젠간 얻을 수 있는 능력입니다. 급하시면 상관없지만요.

;소속 문자열 TALENT의 소속 값 + 300
301,배틀 메이드 프로젝트
302,페어리 시리즈
303,애니웨어 시리즈
304,컴패니언 시리즈
305,스틸라인
306,시스터즈 오브 발할라
307,앵거 오브 호드
308,둠 브링어
309,AA캐노니어
310,아머드 메이든
311,버뮤다 팀
312,080기관
313,몽구스 팀
314,호라이즌
315,스카이 나이츠
316,오비탈 와쳐
317,골든 워커즈
318,시티 가드
319,퍼블릭 서번트
320,D-엔터테인먼트
321,코헤이 교단
322,어뮤즈 어텐던트
323,비스마르크 코퍼레이션
324,스트라이커즈
325,와쳐 오브 네이쳐
326,AGS 로보테크
